date,ticker,action,ret,variant
2026-01-02,NYSE:ASTS,BUY,,A
2026-01-16,NYSE:ASTS,target,0.3869653767820773,A
2026-01-16,NYSE:ASTS,BUY,,A
2026-02-05,NYSE:ASTS,stop,-0.19435086810054414,A
2026-02-05,NYSE:ASTS,BUY,,A
2026-02-27,NYSE:ASTS,stop,-0.15095957971480645,A
2026-02-27,NYSE:ASTS,BUY,,A
2026-03-04,NYSE:ASTS,target,0.32453592625331495,A
2026-03-04,NYSE:ASTS,BUY,,A
2026-03-10,NYSE:ASTS,stop,-0.16550672132710453,A
2026-03-10,NYSE:ASTS,BUY,,A
2026-03-13,NYSE:LITE,BUY,,A
2026-03-30,NYSE:ASTS,stop,-0.15663201188164066,A
2026-03-30,NYSE:MRNA,BUY,,A
2026-04-02,NYSE:LITE,target,0.3283212929844377,A
2026-04-02,NYSE:LITE,BUY,,A
2026-04-06,NASDAQ:MU,BUY,,A
2026-04-16,NYSE:SMMT,BUY,,A
2026-04-24,NASDAQ:MU,target,0.3149089061303363,A
2026-04-24,NYSE:COHR,BUY,,A
2026-04-27,NASDAQ:MU,BUY,,A
2026-05-01,NYSE:SMMT,stop,-0.3400901015245277,A
2026-05-08,NASDAQ:MU,target,0.42368842655634364,A
2026-06-16,NASDAQ:MU,BUY,,A
2026-06-18,NYSE:MRNA,target,0.31619324372261626,A
