origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,-0.0328,0.1507,-0.1836
2023-08-03,2024-05-20,-0.0516,0.1791,-0.2307
2023-08-10,2024-05-28,-0.0395,0.1873,-0.2269
2023-08-17,2024-06-04,-0.0061,0.2107,-0.2168
2023-08-24,2024-06-11,0.0099,0.2283,-0.2184
2023-08-31,2024-06-18,-0.0045,0.2173,-0.2218
2023-09-08,2024-06-26,0.0012,0.2289,-0.2277
2023-09-15,2024-07-03,0.0026,0.2442,-0.2415
2023-09-22,2024-07-11,0.0135,0.2927,-0.2792
2023-09-29,2024-07-18,0.0184,0.293,-0.2747
2023-10-06,2024-07-25,0.0195,0.2532,-0.2336
2023-10-13,2024-08-01,0.0216,0.2585,-0.2369
2023-10-20,2024-08-08,0.0319,0.2593,-0.2273
2023-10-27,2024-08-15,0.0391,0.3463,-0.3072
2023-11-03,2024-08-22,0.0106,0.2782,-0.2675
2023-11-10,2024-08-29,0.0045,0.2665,-0.262
2023-11-17,2024-09-06,-0.0061,0.1981,-0.2043
2023-11-27,2024-09-13,-0.0122,0.2364,-0.2486
2023-12-04,2024-09-20,-0.0149,0.2479,-0.2628
2023-12-11,2024-09-27,-0.0028,0.2414,-0.2442
2023-12-18,2024-10-04,0.0026,0.2132,-0.2106
2023-12-26,2024-10-11,0.0,0.2179,-0.2179
2024-01-03,2024-10-18,0.0,0.2465,-0.2465
2024-01-10,2024-10-25,0.0,0.2142,-0.2142
2024-01-18,2024-11-01,0.0,0.1983,-0.1983
2024-01-25,2024-11-08,0.0,0.225,-0.225
2024-02-01,2024-11-15,0.0,0.1966,-0.1966
2024-02-08,2024-11-22,0.0,0.1944,-0.1944
2024-02-15,2024-12-02,0.0,0.2023,-0.2023
2024-02-23,2024-12-09,0.0,0.1894,-0.1894
2024-03-01,2024-12-16,0.0,0.1824,-0.1824
2024-03-08,2024-12-23,0.0,0.166,-0.166
2024-03-15,2024-12-31,0.0,0.1494,-0.1494
2024-03-22,2025-01-08,0.0,0.1307,-0.1307
2024-04-01,2025-01-16,0.0,0.1323,-0.1323
2024-04-08,2025-01-24,0.0,0.1728,-0.1728
2024-04-15,2025-01-31,0.0,0.1934,-0.1934
2024-04-22,2025-02-07,0.0,0.2026,-0.2026
2024-04-29,2025-02-14,0.0,0.1952,-0.1952
2024-05-06,2025-02-24,0.0,0.1549,-0.1549
2024-05-13,2025-03-03,0.0,0.1203,-0.1203
2024-05-20,2025-03-10,0.0,0.0577,-0.0577
2024-05-28,2025-03-17,0.0,0.0696,-0.0696
2024-06-04,2025-03-24,0.0,0.09,-0.09
2024-06-11,2025-03-31,0.0,0.044,-0.044
2024-06-18,2025-04-07,0.0,-0.0774,0.0774
2024-06-26,2025-04-14,0.0,-0.0131,0.0131
2024-07-03,2025-04-22,0.0,-0.045,0.045
2024-07-11,2025-04-29,0.0,-0.0042,0.0042
2024-07-18,2025-05-06,0.0,0.0112,-0.0112
2024-07-25,2025-05-13,0.0,0.0903,-0.0903
2024-08-01,2025-05-20,0.0,0.0907,-0.0907
2024-08-08,2025-05-28,0.0,0.107,-0.107
2024-08-15,2025-06-04,0.0,0.0771,-0.0771
2024-08-22,2025-06-11,0.0,0.0811,-0.0811
2024-08-29,2025-06-18,0.0,0.0695,-0.0695
2024-09-06,2025-06-26,0.0,0.1355,-0.1355
2024-09-13,2025-07-03,0.0,0.1161,-0.1161
2024-09-20,2025-07-11,0.0,0.0977,-0.0977
2024-09-27,2025-07-18,0.0,0.0974,-0.0974
2024-10-04,2025-07-25,0.0,0.1109,-0.1109
2024-10-11,2025-08-01,0.0,0.0727,-0.0727
2024-10-18,2025-08-08,0.0,0.0895,-0.0895
2024-10-25,2025-08-15,0.0,0.1105,-0.1105
2024-11-01,2025-08-22,0.0,0.1288,-0.1288
2024-11-08,2025-08-29,0.0,0.0775,-0.0775
2024-11-15,2025-09-08,0.0,0.1064,-0.1064
2024-11-22,2025-09-15,0.0,0.1082,-0.1082
2024-12-02,2025-09-22,0.0,0.1069,-0.1069
2024-12-09,2025-09-29,0.0,0.1005,-0.1005
2024-12-16,2025-10-06,0.0,0.1097,-0.1097
2024-12-23,2025-10-13,0.0,0.1139,-0.1139
2024-12-31,2025-10-20,0.0,0.1451,-0.1451
2025-01-08,2025-10-27,0.0,0.1617,-0.1617
2025-01-16,2025-11-03,0.0,0.154,-0.154
2025-01-24,2025-11-10,0.0,0.1198,-0.1198
2025-01-31,2025-11-17,0.0,0.1046,-0.1046
2025-02-07,2025-11-24,0.0,0.1127,-0.1127
2025-02-14,2025-12-02,0.0,0.1169,-0.1169
2025-02-24,2025-12-09,0.0,0.1433,-0.1433
2025-03-03,2025-12-16,0.0,0.1625,-0.1625
2025-03-10,2025-12-23,0.0,0.2307,-0.2307
2025-03-17,2025-12-31,0.0,0.2062,-0.2062
2025-03-24,2026-01-08,0.0,0.2001,-0.2001
2025-03-31,2026-01-15,0.0,0.2375,-0.2375
2025-04-07,2026-01-23,0.0,0.3661,-0.3661
2025-04-14,2026-01-30,0.0,0.2836,-0.2836
2025-04-22,2026-02-06,0.0,0.311,-0.311
2025-04-29,2026-02-13,0.0,0.2293,-0.2293
2025-05-06,2026-02-23,0.0,0.2195,-0.2195
2025-05-13,2026-03-02,0.0,0.169,-0.169
2025-05-20,2026-03-09,0.0,0.144,-0.144
2025-05-28,2026-03-16,0.0,0.1377,-0.1377
2025-06-04,2026-03-23,0.0,0.1022,-0.1022
